,Mitigation,Impacts,Hazard,Causes,Adaptation,Invalid
2025-12-19,0.0,0.0,0.0,0.0,0.0,2.2
2025-12-20,0.0,0.0,0.0,0.0,0.0,1.5
2025-12-21,0.0,0.0,0.0,0.0,0.0,3.0
2025-12-22,0.0,0.0,0.0,0.7,0.0,0.7
2025-12-23,0.0,0.0,0.7,0.0,0.0,0.8
2025-12-24,0.0,0.0,0.0,0.0,0.0,2.8
2025-12-25,0.0,0.0,0.0,0.0,0.0,4.9
2025-12-26,0.0,0.8,0.8,0.0,0.0,2.3
2025-12-27,0.8,0.0,0.0,0.8,0.0,2.9000000000000004
2025-12-28,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,0.0,0.8,3.2,0.0,0.0,5.1
2025-12-30,0.0,0.0,0.0,0.0,0.0,5.1000000000000005
2025-12-31,0.0,0.0,0.0,0.0,0.0,2.2
2026-01-01,0.0,0.0,0.8,0.8,0.0,3.9000000000000004
2026-01-02,0.8,0.0,1.6,0.8,0.0,2.2
2026-01-03,0.8,0.0,0.0,0.8,0.0,5.1
2026-01-04,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2026-01-05,0.0,0.0,0.0,0.0,0.0,3.1000000000000005
2026-01-06,0.8,0.0,0.0,1.6,0.0,6.1
2026-01-07,0.0,0.0,0.0,1.6,0.0,4.699999999999999
2026-01-08,0.7,0.0,0.7,0.7,0.0,3.0
2026-01-09,2.4000000000000004,1.6,0.0,0.0,0.0,14.799999999999997
2026-01-10,5.6,1.6,0.8,0.0,0.0,3.0
2026-01-11,0.8,1.5,3.2,3.2,0.0,1.6
2026-01-12,2.4000000000000004,0.0,4.0,1.6,0.0,2.3
2026-01-13,0.8,0.8,3.9000000000000004,4.0,0.0,4.4
2026-01-14,0.9,0.0,1.6,1.6,0.0,4.5
2026-01-15,0.0,0.0,0.8,0.0,0.0,4.5
2026-01-16,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
2026-01-17,0.8,0.8,5.5,2.4000000000000004,0.0,6.199999999999999
2026-01-18,1.6,0.0,3.2,1.6,0.0,2.0999999999999996
2026-01-19,0.0,0.0,0.8,0.0,0.0,1.5
2026-01-20,0.0,0.0,1.6,0.0,0.0,5.3999999999999995
2026-01-21,0.8,0.0,0.8,0.0,0.0,1.4
2026-01-22,0.0,0.0,0.8,0.0,0.0,2.4000000000000004
2026-01-23,0.0,0.0,0.0,0.8,0.0,1.5
2026-01-24,0.0,0.0,0.8,0.0,0.0,4.7
2026-01-25,0.0,0.0,0.0,0.0,0.0,3.2
2026-01-26,0.0,0.0,0.8,0.8,0.0,7.6
2026-01-27,0.7,0.0,1.5,0.7,0.0,2.3
2026-01-28,0.0,0.0,0.8,3.0999999999999996,0.0,3.0
2026-01-29,0.7,0.7,0.0,0.8,0.0,5.5
2026-01-30,0.0,0.0,0.0,0.0,0.0,3.8999999999999995
2026-01-31,0.0,0.0,0.0,0.0,0.0,3.2
2026-02-01,0.0,0.0,0.0,0.0,0.0,1.6
2026-02-02,0.0,0.0,0.0,0.0,0.0,0.8
2026-02-03,0.7,0.0,0.8,0.0,0.0,4.0
2026-02-04,0.0,0.0,0.0,0.0,0.0,1.5
2026-02-05,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2026-02-06,0.7,0.0,0.0,0.0,0.0,2.3
2026-02-07,0.7,0.0,0.7,0.0,0.0,0.8
2026-02-08,0.0,0.9,0.0,0.0,0.0,0.0
2026-02-09,2.6,1.8,1.6,0.0,0.0,2.2
2026-02-10,0.0,0.0,0.8,0.8,0.0,2.9000000000000004
2026-02-11,0.0,1.6,0.8,0.0,0.0,1.4
2026-02-12,0.0,0.0,0.0,0.0,0.0,1.5
2026-02-13,0.0,0.0,1.6,0.0,0.0,0.8
2026-02-14,0.0,0.0,0.8,0.8,0.0,0.0
2026-02-15,0.0,0.8,1.6,0.0,0.0,0.0
2026-02-16,0.0,0.0,0.0,0.8,0.0,1.4
2026-02-17,2.4000000000000004,1.6,3.2,0.0,0.0,1.4
2026-02-18,20.000000000000007,13.500000000000004,20.800000000000008,4.0,1.6,7.800000000000002
2026-02-19,7.199999999999999,6.4,23.000000000000007,5.6,0.0,5.1000000000000005
2026-02-20,8.799999999999999,7.199999999999999,12.600000000000001,0.8,0.0,11.599999999999998
2026-02-21,1.7000000000000002,4.3,10.4,5.6,0.0,3.6000000000000005
2026-02-22,2.4000000000000004,3.2,6.299999999999999,0.8,0.0,2.8999999999999995
2026-02-23,1.6,0.0,5.5,0.7,0.0,3.7
2026-02-24,0.8,0.9,3.2,0.0,0.0,3.0
2026-02-25,1.6,0.0,0.7,1.5,0.0,3.8999999999999995
2026-02-26,0.0,0.0,1.5,0.0,0.0,3.8
2026-02-27,0.0,0.0,0.0,0.8,0.0,3.0
2026-02-28,0.8,0.0,1.6,0.0,0.0,0.0
2026-03-01,0.7,0.0,0.0,0.0,0.0,1.6
2026-03-02,0.0,0.0,0.0,0.8,0.0,1.6
2026-03-03,0.0,0.0,0.0,0.0,0.0,3.2
2026-03-04,1.5,0.7,1.6,0.0,0.0,4.6
2026-03-05,0.0,0.0,0.0,0.7,0.0,3.1000000000000005
2026-03-06,0.0,0.0,0.0,0.0,0.0,3.0
2026-03-07,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-03-08,0.8,0.0,1.6,0.0,0.0,1.5
2026-03-09,0.8,2.4000000000000004,1.5,0.0,0.0,2.2
2026-03-10,0.8,0.0,0.0,0.0,0.0,0.7
2026-03-11,0.0,1.5,0.0,0.0,0.0,1.6
2026-03-12,0.0,0.8,0.8,0.8,0.0,0.0
2026-03-13,0.0,0.0,0.0,0.0,0.0,0.8
2026-03-14,0.9,0.9,0.0,0.0,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-03-17,0.0,0.7,0.0,0.0,0.0,3.8
2026-03-18,0.0,0.0,0.0,0.0,0.0,1.5
2026-03-19,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-03-21,2.4000000000000004,0.0,4.0,0.0,0.0,3.8
2026-03-22,0.8,0.0,0.8,0.0,0.0,3.1000000000000005
2026-03-23,0.0,0.0,0.0,0.8,0.0,2.3
2026-03-24,0.0,0.0,2.4000000000000004,0.8,0.0,3.2
2026-03-25,0.0,0.0,2.3,0.0,0.0,3.9000000000000004
2026-03-26,0.0,0.7,0.0,0.0,0.0,3.0
2026-03-27,0.0,0.8,0.8,1.6,0.0,3.1000000000000005
2026-03-28,0.9,0.9,0.0,0.9,0.0,6.199999999999999
2026-03-29,0.0,0.0,0.0,0.0,0.0,0.8
2026-03-30,0.0,0.0,0.8,0.0,0.0,1.6
2026-03-31,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.8
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.7
2026-04-03,0.0,0.7,0.0,0.8,0.0,0.8
2026-04-04,0.0,0.0,0.0,0.0,0.0,0.8
2026-04-05,0.0,0.0,0.0,0.0,0.0,3.2
2026-04-06,0.0,0.0,0.0,0.0,0.0,1.6
2026-04-07,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2026-04-08,0.0,0.0,0.8,0.0,0.0,2.4000000000000004
2026-04-09,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-04-10,0.0,0.0,0.0,0.0,0.0,6.3999999999999995
2026-04-11,0.0,0.0,0.0,0.0,0.0,4.6
2026-04-12,0.0,0.0,0.0,0.0,0.0,4.699999999999999
2026-04-13,0.0,0.0,0.0,0.0,0.0,3.0
2026-04-14,0.0,0.0,1.4,0.0,0.0,3.7
2026-04-15,0.0,0.0,0.0,0.0,0.0,3.2
2026-04-17,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2026-04-18,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-04-19,0.7,0.0,0.0,0.0,0.0,4.0
2026-04-20,0.0,0.0,0.0,0.0,0.0,2.2
2026-04-22,0.0,0.0,0.0,0.0,0.0,9.4
2026-04-23,0.0,0.0,0.0,0.0,0.0,1.5
2026-04-24,0.0,0.0,0.0,0.0,0.0,3.2
2026-04-25,0.0,0.0,0.0,0.0,0.0,3.1000000000000005
2026-04-26,0.0,0.0,0.7,0.0,0.0,6.1
2026-04-27,0.0,0.0,0.0,0.0,0.0,4.5
2026-04-28,0.0,0.0,0.0,0.0,0.0,1.5
2026-04-29,0.0,0.0,0.0,0.0,0.0,1.5
2026-04-30,0.0,0.0,0.0,0.0,0.0,0.8
2026-05-01,0.0,0.8,0.0,0.0,0.0,2.3
2026-05-02,0.0,0.0,0.0,0.0,0.0,3.2
2026-05-03,0.0,0.0,0.0,0.0,0.0,3.8999999999999995
2026-05-04,0.0,0.7,0.0,0.7,0.0,6.3
2026-05-05,0.0,0.0,0.0,0.0,0.0,1.5
2026-05-06,0.0,0.0,0.7,0.0,0.0,3.8
2026-05-07,0.0,0.0,0.0,0.0,0.0,3.0
2026-05-08,0.8,0.0,0.0,0.8,0.0,1.4
2026-05-09,0.0,0.0,0.0,0.0,0.0,2.3
2026-05-10,0.0,0.0,0.0,0.0,0.0,4.5
2026-05-11,0.0,0.0,0.0,0.0,0.0,0.7
2026-05-12,0.0,0.8,0.0,0.0,0.0,10.799999999999999
2026-05-13,0.0,0.0,0.8,0.0,0.0,1.5
2026-05-14,0.0,0.0,0.0,0.0,0.0,9.5
2026-05-15,0.0,0.0,0.0,0.0,0.0,1.5
2026-05-16,0.0,1.4,0.0,0.0,0.0,0.8
2026-05-17,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2026-05-18,0.7,0.0,0.0,1.6,0.0,2.3
2026-05-19,0.0,0.0,1.4,0.0,0.0,3.0999999999999996
2026-05-20,0.0,0.0,0.0,0.0,0.0,11.200000000000001
2026-05-21,0.0,0.0,0.0,0.0,0.0,4.8
2026-05-22,0.0,0.0,0.8,0.0,0.0,7.199999999999999
2026-05-23,0.0,1.4,0.0,0.0,0.0,7.799999999999999
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.8
2026-05-25,0.0,0.0,0.0,0.0,0.0,9.499999999999998
2026-05-26,0.0,0.0,0.0,0.0,0.0,5.3999999999999995
2026-05-27,0.7,0.0,0.0,0.0,0.0,3.9000000000000004
2026-05-28,0.7,2.0999999999999996,0.0,0.0,0.0,4.0
2026-05-29,0.0,2.0999999999999996,0.0,0.0,0.0,0.8
2026-05-30,0.0,0.0,0.0,0.0,0.0,3.8999999999999995
2026-05-31,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2026-06-01,0.0,0.0,0.0,0.8,0.0,2.0999999999999996
2026-06-02,0.7,0.0,0.0,0.0,0.0,7.8
2026-06-03,0.0,0.0,0.0,0.0,0.0,3.7
2026-06-04,0.0,0.0,0.0,0.0,0.0,1.4
2026-06-06,0.0,0.8,0.0,0.0,0.0,0.7
2026-06-07,0.0,0.0,0.0,0.0,0.0,1.6
2026-06-08,0.0,0.0,0.0,0.0,0.0,1.5
2026-06-09,0.55,0.0,0.0,0.0,0.0,0.8
2026-06-10,0.0,0.0,0.0,0.0,0.0,1.6
2026-06-11,0.0,0.0,0.0,0.0,0.0,1.6
2026-06-12,0.0,0.0,0.0,0.0,0.0,2.3
2026-06-14,0.0,0.0,0.8,0.0,0.0,0.0
2026-06-15,0.0,0.0,0.0,0.0,0.0,1.4
2026-06-16,0.0,0.0,0.0,0.0,0.0,0.8
2026-06-17,0.0,0.0,0.0,0.0,0.0,2.2
2026-06-18,0.0,0.0,0.0,0.0,0.0,2.3
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.8
